id,region_parent,region_child,nx,ny
1,부산광역시,서구,97,74
2,부산광역시,동구,98,75
3,부산광역시,영도구,98,74
4,부산광역시,부산진구,98,75
5,부산광역시,동래구,98,76
6,부산광역시,남구,98,75
7,부산광역시,북구,96,76
8,부산광역시,해운대구,99,75
9,부산광역시,사하구,96,74
10,부산광역시,금정구,98,77
11,부산광역시,강서구,96,76
12,부산광역시,연제구,98,76
13,부산광역시,수영구,99,75
14,부산광역시,사상구,96,75
15,부산광역시,기장군,100,77
16,울산광역시,중구,102,84
17,울산광역시,남구,102,83
18,울산광역시,동구,104,84
19,울산광역시,북구,103,85
20,울산광역시,울주군,101,84
21,강원도,춘천시,73,134
22,강원도,원주시,76,122
23,강원도,강릉시,92,131
24,강원도,강릉시,91,134
25,강원도,강릉시,92,131
26,강원도,강릉시,92,130
27,강원도,강릉시,92,131
28,강원도,강릉시,94,131
29,강원도,강릉시,95,129
30,강원도,강릉시,92,133
31,강원도,강릉시,92,134
32,강원도,강릉시,92,131
33,강원도,강릉시,93,132
34,강원도,강릉시,93,132
35,강원도,강릉시,92,132
36,강원도,강릉시,93,132
37,강원도,강릉시,93,132
38,강원도,강릉시,93,132
39,강원도,강릉시,93,132
40,강원도,강릉시,93,132
41,강원도,강릉시,92,131
42,강원도,강릉시,93,131
43,강원도,강릉시,93,132
44,강원도,강릉시,92,132
45,강원도,동해시,97,127
46,강원도,동해시,97,127
47,강원도,동해시,97,126
48,강원도,동해시,97,126
49,강원도,동해시,96,127
50,강원도,동해시,96,127
51,강원도,동해시,96,127
52,강원도,동해시,97,127
53,강원도,동해시,97,126
54,강원도,동해시,96,127
55,강원도,동해시,96,126
56,강원도,태백시,95,119
57,강원도,태백시,95,119
58,강원도,태백시,95,119
59,강원도,태백시,95,119
60,강원도,태백시,95,119
61,강원도,태백시,94,118
62,강원도,태백시,95,117
63,강원도,태백시,95,117
64,강원도,태백시,96,118
65,강원도,속초시,87,141
66,강원도,속초시,87,141
67,강원도,속초시,87,141
68,강원도,속초시,87,141
69,강원도,속초시,87,141
70,강원도,속초시,87,141
71,강원도,속초시,87,141
72,강원도,속초시,87,141
73,강원도,속초시,87,140
74,강원도,삼척시,98,125
75,강원도,삼척시,96,120
76,강원도,삼척시,101,119
77,강원도,삼척시,99,124
78,강원도,삼척시,94,123
79,강원도,삼척시,98,123
80,강원도,삼척시,97,124
81,강원도,삼척시,98,119
82,강원도,삼척시,96,123
83,강원도,삼척시,98,125
84,강원도,삼척시,98,125
85,강원도,삼척시,98,125
86,강원도,삼척시,97,125
87,강원도,홍천군,75,130
88,강원도,홍천군,75,130
89,강원도,홍천군,77,131
90,강원도,홍천군,78,134
91,강원도,홍천군,79,132
92,강원도,홍천군,81,130
93,강원도,홍천군,76,129
94,강원도,홍천군,73,128
95,강원도,홍천군,72,129
96,강원도,홍천군,75,130
97,강원도,홍천군,84,132
98,강원도,횡성군,77,125
99,강원도,횡성군,77,125
100,강원도,횡성군,79,125
101,강원도,횡성군,80,124
102,강원도,횡성군,81,126
103,강원도,횡성군,79,127
104,강원도,횡성군,80,127
105,강원도,횡성군,77,126
106,강원도,횡성군,75,125
107,강원도,횡성군,80,123
108,강원도,영월군,86,119
109,강원도,영월군,86,119
110,강원도,영월군,92,118
111,강원도,영월군,89,118
112,강원도,영월군,88,118
113,강원도,영월군,85,120
114,강원도,영월군,85,119
115,강원도,영월군,83,120
116,강원도,영월군,82,121
117,강원도,영월군,82,121
118,강원도,평창군,84,123
119,강원도,평창군,84,123
120,강원도,평창군,86,122
121,강원도,평창군,84,124
122,강원도,평창군,85,126
123,강원도,평창군,84,128
124,강원도,평창군,85,128
125,강원도,평창군,87,129
126,강원도,평창군,89,130
127,강원도,정선군,89,123
128,강원도,정선군,89,123
129,강원도,정선군,92,120
130,강원도,정선군,92,120
131,강원도,정선군,89,120
132,강원도,정선군,90,121
133,강원도,정선군,89,125
134,강원도,정선군,92,126
135,강원도,정선군,91,123
136,강원도,정선군,90,125
137,강원도,철원군,65,139
138,강원도,철원군,64,141
139,강원도,철원군,67,142
140,강원도,철원군,65,139
141,강원도,철원군,64,141
142,강원도,철원군,67,140
143,강원도,철원군,68,141
144,강원도,철원군,67,143
145,강원도,철원군,69,143
146,강원도,철원군,73,143
147,강원도,철원군,71,143
148,강원도,철원군,75,143
149,강원도,화천군,72,139
150,강원도,화천군,72,139
151,강원도,화천군,74,137
152,강원도,화천군,71,138
153,강원도,화천군,71,140
154,강원도,화천군,69,138
155,강원도,양구군,77,139
156,강원도,양구군,77,139
157,강원도,양구군,78,139
158,강원도,양구군,78,141
159,강원도,양구군,76,141
160,강원도,양구군,79,143
161,강원도,인제군,80,138
162,강원도,인제군,80,138
163,강원도,인제군,79,136
164,강원도,인제군,81,139
165,강원도,인제군,83,136
166,강원도,인제군,81,141
167,강원도,인제군,82,134
168,강원도,고성군,85,145
169,강원도,고성군,85,145
170,강원도,고성군,85,146
171,강원도,고성군,84,147
172,강원도,고성군,86,144
173,강원도,고성군,87,142
174,강원도,고성군,82,146
175,강원도,양양군,88,138
176,강원도,양양군,88,138
177,강원도,양양군,87,138
178,강원도,양양군,88,138
179,강원도,양양군,89,137
180,강원도,양양군,90,136
181,강원도,양양군,87,140
182,전라남도,목포시,50,67
183,전라남도,목포시,50,66
184,전라남도,목포시,50,66
185,전라남도,목포시,50,66
186,전라남도,목포시,50,67
187,전라남도,목포시,50,67
188,전라남도,목포시,50,67
189,전라남도,목포시,50,66
190,전라남도,목포시,50,66
191,전라남도,목포시,50,66
192,전라남도,목포시,50,66
193,전라남도,목포시,50,66
194,전라남도,목포시,50,66
195,전라남도,목포시,50,66
196,전라남도,목포시,50,67
197,전라남도,목포시,50,67
198,전라남도,목포시,50,66
199,전라남도,목포시,50,67
200,전라남도,목포시,51,67
201,전라남도,목포시,51,66
202,전라남도,목포시,51,67
203,전라남도,목포시,51,67
204,전라남도,목포시,51,66
205,전라남도,목포시,51,67
206,전라남도,여수시,73,66
207,전라남도,여수시,74,63
208,전라남도,여수시,72,66
209,전라남도,여수시,71,68
210,전라남도,여수시,72,65
211,전라남도,여수시,75,60
212,전라남도,여수시,73,63
213,전라남도,여수시,67,50
214,전라남도,여수시,74,65
215,전라남도,여수시,74,65
